ContigName	StartError	EndError	type	confidence
error_0	4669	4669	break	1
error_1	5205	5205	break	2
error_2	20587	20587	break	1
error_3	49296	49296	break	2
error_4	82172	82172	break	2
error_5	99941	99941	break	1
error_6	111511	111511	break	1
error_7	154154	154154	break	1
error_8	176435	176435	break	2
error_9	184789	184789	break	1
error_10	193870	193870	break	1
error_11	201647	201647	break	1
error_12	205153	205153	break	1
error_13	229926	229926	break	1
error_14	237446	237446	break	1
error_15	263180	263180	break	1
error_16	268711	268711	break	1
error_17	272428	272428	break	1
error_18	275986	275986	break	1
error_19	318790	318790	break	1
error_20	329089	329089	break	1
error_21	360608	360608	break	1
error_22	379166	379166	break	2
error_23	400505	400505	break	2
error_24	429953	429953	break	1
error_25	431255	431255	break	1
error_26	436904	436904	break	1
error_27	440527	440527	break	2
error_28	464661	464661	break	1
error_29	490120	490120	break	1
error_30	503424	503424	break	1
error_31	528104	528104	break	1
error_32	556901	556901	break	1
error_33	573428	573428	break	1
error_34	579116	579116	break	1
error_35	588886	588886	break	1
error_36	607934	607934	break	1
error_37	634275	634275	break	1
