ContigName	StartError	EndError	type	confidence
error_0	2829	2829	break	2
error_1	7189	7189	break	1
error_2	7389	7389	break	1
error_3	9296	9296	break	2
error_4	23448	23448	break	3
error_5	27105	27105	break	2
error_6	31836	31836	break	1
error_7	36414	36414	break	1
error_8	41420	41420	break	2
error_9	47805	47805	break	2
error_10	48733	48733	break	1
error_11	52698	52698	break	3
error_12	52947	52947	break	1
error_13	59454	59454	break	2
error_14	62254	62254	break	1
error_15	65152	65152	break	1
error_16	69707	69707	break	1
error_17	72481	72481	break	4
error_18	76451	76451	break	3
error_19	82779	82779	break	1
error_20	83153	83153	break	1
error_21	86641	86641	break	1
error_22	86742	86742	break	3
error_23	86943	86943	break	2
error_24	91351	91351	break	1
error_25	91528	91528	break	2
error_26	100482	100482	break	4
error_27	106622	106622	break	1
error_28	109197	109197	break	1
error_29	112880	112880	break	2
error_30	116280	116280	break	1
error_31	121298	121298	break	1
error_32	121611	121611	break	2
error_33	124427	124427	break	2
error_34	130543	130543	break	1
error_35	134650	134650	break	1
error_36	145112	145112	break	4
error_37	145312	145312	break	2
error_38	163734	163734	break	4
error_39	163933	163933	break	1
error_40	169859	169859	break	2
error_41	175843	175843	break	6
error_42	181609	181609	break	2
error_43	185377	185377	break	2
error_44	185567	185567	break	1
error_45	185768	185768	break	1
error_46	191256	191256	break	4
error_47	199021	199021	break	2
error_48	203351	203351	break	1
error_49	203624	203624	break	3
error_50	203796	203796	break	1
error_51	207132	207132	break	1
error_52	207332	207332	break	1
error_53	210966	210966	break	1
error_54	215673	215673	break	2
error_55	217852	217852	break	1
error_56	223128	223128	break	1
error_57	228320	228320	break	4
error_58	232301	232301	break	1
error_59	236155	236155	break	1
error_60	242247	242247	break	2
error_61	242696	242696	break	1
error_62	244603	244603	break	3
error_63	249065	249065	break	6
error_64	253386	253386	break	2
error_65	257647	257647	break	1
error_66	260355	260355	break	1
error_67	266403	266403	break	2
error_68	266550	266550	break	1
error_69	270438	270438	break	1
error_70	274130	274130	break	4
error_71	279899	279899	break	2
error_72	281069	281069	break	2
error_73	284607	284607	break	2
error_74	289467	289467	break	1
error_75	295971	295971	break	1
error_76	298801	298801	break	1
error_77	300101	300101	break	1
error_78	306042	306042	break	2
error_79	306180	306180	break	2
error_80	308431	308431	break	1
error_81	319566	319566	break	1
error_82	322356	322356	break	1
error_83	324591	324591	break	2
error_84	332104	332104	break	1
error_85	337014	337014	break	1
error_86	342386	342386	break	1
error_87	342587	342587	break	1
error_88	347475	347475	break	2
error_89	349139	349139	break	2
error_90	359541	359541	break	1
error_91	360637	360637	break	1
error_92	364909	364909	break	2
error_93	369801	369801	break	1
error_94	375147	375147	break	4
error_95	378758	378758	break	1
error_96	381753	381753	break	1
error_97	384920	384920	break	3
error_98	391088	391088	break	1
error_99	391365	391365	break	1
error_100	394690	394690	break	5
error_101	396312	396312	break	1
error_102	402501	402501	break	2
error_103	404586	404586	break	2
error_104	413594	413594	break	2
error_105	419950	419950	break	3
error_106	420778	420778	break	1
error_107	420964	420964	break	2
error_108	428622	428622	break	1
error_109	437172	437172	break	2
error_110	440444	440444	break	2
error_111	444428	444428	break	3
error_112	449594	449594	break	2
error_113	453209	453209	break	2
error_114	456009	456009	break	2
error_115	460819	460819	break	1
error_116	467784	467784	break	3
error_117	471255	471255	break	3
error_118	475858	475858	break	1
error_119	476057	476057	break	2
error_120	479860	479860	break	1
error_121	481326	481326	break	4
error_122	487741	487741	break	3
error_123	494082	494082	break	1
error_124	497220	497220	break	2
error_125	503534	503534	break	1
error_126	505147	505147	break	3
error_127	505211	505211	break	2
error_128	509376	509376	break	2
error_129	515315	515315	break	4
error_130	518372	518372	break	1
error_131	523491	523491	break	2
error_132	526237	526237	break	3
error_133	530100	530100	break	2
error_134	533377	533377	break	2
error_135	538709	538709	break	2
error_136	539707	539707	break	1
error_137	540130	540130	break	1
error_138	544957	544957	break	3
error_139	550412	550412	break	2
error_140	550422	550422	break	2
error_141	552231	552231	break	1
error_142	557460	557460	break	1
error_143	560072	560072	break	1
error_144	564223	564223	break	3
error_145	570385	570385	break	1
error_146	575947	575947	break	1
error_147	577928	577928	break	2
error_148	583977	583977	break	3
error_149	586743	586743	break	1
error_150	589351	589351	break	3
error_151	597869	597869	break	2
error_152	610929	610929	break	3
error_153	613744	613744	break	1
error_154	618186	618186	break	3
error_155	622546	622546	break	2
error_156	622714	622714	break	1
error_157	630041	630041	break	3
error_158	630242	630242	break	1
